PDB,Initial R,Final R,Initial R-free,Final R-free,Initial RMSD(bonds),Final RMSD(bonds),Initial RMSD(angles),Final RMSD(angles),Resolution
3rg5,0.2089,0.1988,0.2463,0.2416,0.0124,0.0079,1.7765,1.5298,2.0
3s49,0.2397,0.2187,0.2797,0.2811,0.0306,0.0136,4.2084,2.942,2.3
3s4p,0.242,0.2261,0.2528,0.2503,0.0289,0.0076,1.6493,1.4684,2.56
3s7c,0.2008,0.1769,0.2169,0.1987,0.0119,0.0108,2.0257,1.956,1.1
3s8u,0.1898,0.1826,0.2029,0.1982,0.0211,0.0124,2.4377,1.5892,1.2
3sd8,0.2167,0.2115,0.2282,0.2347,0.0266,0.0132,1.9019,1.6256,1.67
3sj2,0.188,0.1731,0.2001,0.2003,0.0081,0.0131,0.9959,1.5027,1.36
3ssf,0.1996,0.1962,0.2412,0.2398,0.0367,0.0122,2.1435,1.6412,1.6
3syw,0.1949,0.1832,0.2173,0.2227,0.0101,0.0122,1.0552,1.4119,1.57
3szx,0.2267,0.2244,0.2797,0.2867,0.0247,0.0065,2.1844,1.1996,2.204
3td0,0.2188,0.207,0.2501,0.247,0.018,0.0102,1.1571,1.5109,1.6
3td1,0.1964,0.1817,0.2402,0.2374,0.012,0.0088,1.2141,1.4403,2.1
3tvb,0.1772,0.1736,0.204,0.1989,0.0915,0.0717,2.762,1.6148,1.08
3u2n,0.1902,0.1832,0.2339,0.2294,0.1138,0.0228,1.1744,1.6793,1.25
3u38,0.1764,0.1776,0.247,0.2494,0.029,0.0154,5.8415,4.2403,2.13
3ukb,0.1708,0.1689,0.2216,0.2146,0.0239,0.0158,2.3257,2.4239,1.42
3ukc,0.2047,0.1995,0.2151,0.2156,0.0148,0.0135,2.5254,2.4769,1.54
3uke,0.2011,0.1969,0.2365,0.2299,0.0137,0.0122,2.3152,2.2922,1.68
3uyb,0.1516,0.1474,0.1559,0.1505,0.026,0.0247,3.404,2.8313,1.5
3v06,0.1922,0.193,0.2299,0.2253,0.0313,0.0199,2.4933,1.8277,1.53
3v07,0.1865,0.1845,0.2243,0.2205,0.0361,0.0279,2.4767,1.7492,1.24
3wru,0.2421,0.2178,0.2611,0.257,0.0223,0.0076,1.6161,1.4661,2.3
3zd4,0.2244,0.2058,0.2483,0.2344,0.0071,0.008,1.2101,1.4907,2.2
3zd5,0.2134,0.2018,0.2386,0.2307,0.0072,0.0067,1.2689,1.4295,2.2
3zp8,0.2225,0.2044,0.2436,0.2423,0.0438,0.0126,1.1748,1.5296,1.55
423d,0.1704,0.1566,0.1658,0.1825,0.0229,0.0145,2.3785,1.8295,1.6
424d,0.2017,0.1982,0.2212,0.2573,0.0081,0.0078,1.0946,1.4122,2.7
428d,0.2493,0.2266,0.2912,0.2681,0.0131,0.0088,0.9985,1.356,1.75
429d,0.2319,0.2237,0.2639,0.2512,0.0108,0.0075,1.3707,1.3332,2.7
433d,0.2432,0.2473,0.3016,0.2856,0.0122,0.0078,1.2367,1.2071,2.1
437d,0.2147,0.2059,0.2618,0.2518,0.0191,0.0096,1.6831,1.4824,1.6
442d,0.1767,0.1597,0.1809,0.1759,0.0366,0.0183,3.5434,2.3765,1.6
443d,0.1828,0.1733,0.2016,0.1825,0.0456,0.015,4.7141,2.6149,1.6
448d,0.2378,0.2213,0.2716,0.2455,0.0174,0.008,1.894,1.7967,2.2
449d,0.2358,0.2217,0.2855,0.2669,0.0173,0.0086,1.7782,1.7735,2.1
455d,0.1939,0.1834,0.2582,0.2315,0.0129,0.0121,1.8938,1.7886,1.43
462d,0.2134,0.1789,0.2234,0.2434,0.0717,0.0091,1.2357,1.25,2.3
464d,0.2683,0.245,0.2829,0.281,0.0272,0.0125,2.1862,1.6498,1.23
466d,0.1986,0.1794,0.2095,0.2048,0.0242,0.0104,1.7294,1.4234,1.16
468d,0.1962,0.1744,0.2375,0.2344,0.0301,0.0142,4.0308,3.5866,1.8
469d,0.1901,0.1688,0.2464,0.2288,0.032,0.0163,4.2393,3.7382,1.7
470d,0.1883,0.1645,0.2316,0.2349,0.0345,0.0146,4.0106,3.6417,1.95
473d,0.1867,0.1842,0.2558,0.233,0.0417,0.013,2.8744,1.7631,1.58
476d,0.2032,0.1921,0.2172,0.2209,0.0535,0.0182,1.4741,1.462,1.3
477d,0.1924,0.1776,0.2332,0.2406,0.0215,0.0085,1.3041,1.3654,1.7
480d,0.1737,0.1489,0.1917,0.1701,0.0062,0.0121,0.8199,1.5934,1.5
483d,0.1977,0.1838,0.2152,0.2081,0.01,0.0131,1.7697,1.5038,1.11
4ah1,0.1868,0.1873,0.2507,0.2437,0.0344,0.012,3.1803,1.8171,1.42
4c5x,0.2101,0.2032,0.2161,0.2337,0.0232,0.0178,2.6142,2.3194,1.3
4c63,0.2023,0.1949,0.204,0.2041,0.0219,0.0138,2.4311,2.13,1.32
4c64,0.2062,0.1992,0.231,0.2302,0.0173,0.0114,2.0414,1.6765,1.32
4dkz,0.2291,0.2052,0.2362,0.2479,0.0323,0.015,3.2858,2.3425,1.8
4e58,0.2589,0.2437,0.2507,0.2779,0.0178,0.0101,2.6218,2.5462,1.952
4e59,0.253,0.2455,0.2468,0.2688,0.0119,0.0069,1.4329,1.4353,1.54
4e7y,0.1528,0.1547,0.1885,0.179,0.0371,0.0185,5.9434,4.6275,1.7
4e8s,0.1417,0.1353,0.1616,0.1563,0.0231,0.0195,4.745,4.3696,1.24
4e8x,0.2325,0.2186,0.2724,0.2655,0.0384,0.0176,2.6751,2.2887,2.18
4e95,0.1806,0.1798,0.2335,0.2434,0.0243,0.0163,3.6371,2.5282,1.94
4enc,0.2513,0.2255,0.2789,0.255,0.0124,0.0075,0.9366,1.2526,2.272
4f2x,0.2165,0.2089,0.2622,0.2617,0.0201,0.0103,2.0852,1.8784,1.57
4f2y,0.2223,0.2141,0.2611,0.2623,0.0378,0.0177,1.5172,1.8833,1.59
4f3u,0.2317,0.2243,0.26,0.2546,0.0297,0.0166,2.1755,2.2283,1.401
4f4n,0.1461,0.1434,0.1741,0.1745,0.0272,0.0225,2.4844,2.0092,1.3
4f8u,0.2604,0.2413,0.2648,0.2594,0.014,0.0074,1.0916,1.3495,2.0
4f8v,0.2241,0.1983,0.2559,0.2606,0.0141,0.0058,1.2242,1.3002,2.8
4fe5,0.2024,0.1835,0.2252,0.2156,0.0073,0.0134,8.7035,7.8107,1.32
4fej,0.1775,0.1671,0.227,0.2188,0.0101,0.0118,9.4012,8.0307,1.5
4fel,0.1813,0.175,0.2204,0.2184,0.0082,0.0084,10.5543,8.3129,1.6
4fen,0.169,0.155,0.1963,0.1861,0.0069,0.0126,9.3681,8.477,1.35
4feo,0.168,0.1599,0.2171,0.217,0.0087,0.0088,10.5614,8.4258,1.6
4fep,0.175,0.1634,0.2216,0.2175,0.0069,0.0094,10.56,8.5709,1.65
4fnj,0.2042,0.2077,0.2576,0.2564,0.0422,0.0073,2.1786,1.4476,1.95
4fxm,0.2116,0.2117,0.2426,0.2412,0.0539,0.0418,3.2252,1.9449,1.651
4gju,0.2017,0.1815,0.2118,0.2021,0.0201,0.0209,2.8486,2.6535,1.412
4glc,0.2232,0.2072,0.288,0.2571,0.0207,0.016,1.985,2.3499,1.831
4glg,0.2283,0.2019,0.256,0.24,0.0108,0.0144,2.1669,2.2707,1.72
4glh,0.241,0.2195,0.2468,0.2333,0.0245,0.0171,2.2411,2.4132,1.662
4gre,0.2428,0.2418,0.2557,0.2567,0.0101,0.0083,1.3776,1.5556,1.7
4hli,0.2367,0.2184,0.3053,0.2627,0.0204,0.0143,1.7082,2.3014,1.99
4hqi,0.2528,0.2457,0.2898,0.2865,0.025,0.0114,3.6598,2.9665,1.7
4i9v,0.2019,0.189,0.2082,0.2067,0.0308,0.0237,2.4603,2.7223,1.02
4iii,0.1482,0.1409,0.1583,0.1532,0.0226,0.0186,4.7329,3.5662,1.02
4ij0,0.1966,0.2004,0.1978,0.2325,0.0514,0.0205,3.8538,2.3682,1.54
4itd,0.4257,0.3674,0.4674,0.4756,0.0343,0.0048,3.1178,1.6114,1.94
4j50,0.1985,0.1813,0.2031,0.1951,0.0074,0.0109,0.9068,1.4377,1.65
4jah,0.2132,0.2061,0.2378,0.2317,0.0406,0.0212,4.538,3.6663,1.5
4jf2,0.2198,0.2105,0.2595,0.2551,0.0544,0.0094,1.5242,1.1198,2.28
4jrd,0.1695,0.1629,0.1897,0.1865,0.0084,0.0103,1.344,1.2738,1.0
4k31,0.2216,0.2116,0.2551,0.2511,0.0098,0.0116,1.1657,1.3385,1.415
4kw0,0.2368,0.2265,0.2589,0.2534,0.0221,0.0163,2.483,2.5975,1.49
4kwx,0.2101,0.1924,0.207,0.2072,0.0125,0.0124,0.9076,1.7426,1.3
4kyy,0.2368,0.2147,0.2479,0.2477,0.0952,0.0176,0.973,1.296,2.35
4l0a,0.1626,0.1654,0.185,0.2344,0.068,0.0295,5.45,5.5703,1.7
4l25,0.2248,0.1931,0.2312,0.2072,0.0049,0.0143,0.9218,1.5585,1.1
4l26,0.2138,0.2005,0.2568,0.2505,0.0084,0.0094,1.2088,1.6257,1.4
4l81,0.2057,0.1803,0.2239,0.2095,0.0104,0.0131,8.8366,6.9561,2.95
4ltf,0.1305,0.1267,0.1576,0.1531,0.0249,0.0189,4.7065,4.3921,1.5
4ltg,0.1312,0.1262,0.1465,0.1446,0.0242,0.0188,5.9749,5.3068,1.18
4lth,0.1309,0.1282,0.1494,0.1469,0.0272,0.0172,5.5793,4.8684,1.6
4lti,0.1311,0.1327,0.1628,0.1616,0.028,0.0161,7.3002,6.2071,1.41
4ltj,0.1464,0.1415,0.1816,0.1818,0.0257,0.0143,2.4263,2.3788,1.8
4ltk,0.1364,0.1377,0.1551,0.1523,0.0306,0.0184,6.7278,5.9326,1.45
4ltl,0.1505,0.15,0.1911,0.19,0.029,0.0124,3.7498,2.8306,2.07
4lx6,0.2545,0.2306,0.293,0.2862,0.0122,0.0077,1.0238,1.2705,2.15
4ly2,0.1781,0.1794,0.225,0.2057,0.0354,0.016,8.3003,6.4571,2.1
4m3i,0.2468,0.2368,0.2818,0.2661,0.0372,0.0169,9.828,7.5784,2.1
4m3v,0.2429,0.2461,0.3113,0.3128,0.0428,0.0277,10.0713,8.0119,2.05
4mce,0.3014,0.2867,0.3439,0.3444,0.0081,0.0071,1.0444,1.1968,2.205
4mgw,0.2192,0.2078,0.2829,0.2769,0.0467,0.0115,4.3177,2.9737,1.93
4mkw,0.2264,0.2099,0.2523,0.2551,0.022,0.0139,2.3015,2.0465,1.219
4ms5,0.218,0.223,0.2487,0.2573,0.0174,0.018,3.7484,2.9592,2.23
4msb,0.2396,0.2205,0.2778,0.274,0.0417,0.0159,1.369,1.3631,1.55
4msr,0.1736,0.173,0.2162,0.2143,0.0349,0.0196,1.8191,1.4876,1.2
4nfo,0.2401,0.2346,0.2672,0.2634,0.0115,0.0081,1.4758,1.3416,1.96
4nfp,0.2388,0.2266,0.2668,0.2723,0.0158,0.0087,1.9362,1.9142,1.85
4nfq,0.2503,0.2402,0.2727,0.2726,0.0134,0.0081,2.4341,2.1521,1.7
4nlf,0.1559,0.1518,0.1679,0.1672,0.0105,0.0123,1.5517,1.8375,1.0
4nxh,0.1731,0.1648,0.1872,0.1884,0.0395,0.0213,2.4577,2.1835,1.158
4nyd,0.205,0.1862,0.2616,0.2556,0.0114,0.0073,1.3767,1.3017,2.9
4o41,0.2096,0.1983,0.2414,0.2344,0.0357,0.0203,4.7504,4.0285,1.2
4o5w,0.2177,0.2126,0.2458,0.2359,0.0533,0.0171,3.1446,2.4915,1.6
4o5x,0.236,0.2332,0.2545,0.2507,0.037,0.0144,3.36,2.4402,1.6
4o5y,0.2263,0.2189,0.2649,0.2729,0.0546,0.0143,2.4156,1.8868,1.75
4o5z,0.2226,0.2068,0.2466,0.2684,0.0429,0.0112,2.6708,1.9513,1.75
4ocd,0.2475,0.2371,0.2607,0.2523,0.0139,0.0104,1.7038,2.0603,2.1
4okl,0.2488,0.2269,0.2674,0.253,0.0079,0.0102,0.8398,1.2622,1.65
4p1d,0.2301,0.2241,0.2475,0.2514,0.036,0.0251,2.1912,1.617,1.55
4p20,0.2199,0.208,0.2662,0.26,0.0172,0.007,1.2363,1.4417,2.7
4p3s,0.21,0.1938,0.2479,0.2503,0.0143,0.0097,1.2842,1.644,2.3
4p3t,0.2435,0.2282,0.263,0.2619,0.0088,0.0094,1.1443,1.424,1.6
4p3u,0.2597,0.2255,0.2623,0.2594,0.0116,0.0056,1.5232,1.4211,3.0
4p43,0.244,0.2244,0.2674,0.2882,0.0093,0.0084,0.8175,1.1223,2.0
4p97,0.2068,0.1918,0.2121,0.2237,0.0116,0.0094,1.2562,1.4645,1.86
4pcj,0.1962,0.1972,0.2644,0.258,0.0393,0.0096,1.8624,1.5635,1.9
4pwm,0.221,0.2225,0.2682,0.2668,0.0184,0.0082,2.3542,2.0374,1.95
4qc7,0.2257,0.2268,0.245,0.2448,0.0115,0.009,1.3339,1.6524,1.9
4qkk,0.1911,0.1744,0.1911,0.1771,0.0376,0.0189,1.7671,2.3584,1.4
4r44,0.2923,0.2944,0.3354,0.3286,0.0922,0.0509,1.3965,1.4951,2.695
4r45,0.2921,0.2844,0.347,0.3423,0.0358,0.0217,0.9864,1.5967,1.9
4r49,0.2684,0.2651,0.2775,0.2793,0.0445,0.0286,1.894,1.9774,1.28
4r4a,0.2043,0.203,0.226,0.2215,0.0336,0.0259,1.8544,1.7952,1.49
4r4d,0.3202,0.3192,0.3344,0.3388,0.0584,0.0294,2.2718,2.3987,1.29
4r8j,0.1542,0.1504,0.1605,0.1623,0.018,0.0208,2.4676,2.5657,1.21
4rbq,0.1948,0.1851,0.1936,0.1956,0.0267,0.013,0.9763,1.5378,1.05
4rby,0.1669,0.1557,0.1871,0.1717,0.0318,0.0197,2.4454,2.0629,1.19
4rbz,0.1768,0.1661,0.2049,0.2045,0.0186,0.017,2.1129,1.8681,1.18
4rc0,0.2026,0.1875,0.2096,0.1948,0.0194,0.0169,3.1059,2.6347,1.13
4rhd,0.2204,0.2134,0.2192,0.2137,0.0508,0.0234,3.8604,3.1329,1.7
4rne,0.1523,0.1526,0.1517,0.1603,0.1277,0.0478,1.5538,1.8076,1.01
4rum,0.2194,0.2057,0.23,0.2404,0.0335,0.0106,1.4049,1.5289,2.6426
4ts0,0.2433,0.2356,0.2764,0.2765,0.0602,0.0105,1.8249,1.5993,2.8
4ts2,0.2276,0.2213,0.2674,0.2741,0.0173,0.0077,1.5877,1.4479,2.884
4tzx,0.2654,0.2361,0.2971,0.2986,0.0351,0.0075,0.634,1.2657,2.01
4u34,0.1841,0.1692,0.1968,0.1892,0.0064,0.0161,1.2962,1.6341,1.35
4u38,0.2051,0.2028,0.2475,0.2456,0.011,0.0097,1.8592,1.8091,1.8
4u3o,0.1735,0.1618,0.1764,0.1769,0.0201,0.0112,1.0629,1.4433,1.8
4u3r,0.1791,0.1568,0.2008,0.1835,0.0063,0.019,0.766,1.2892,1.7009999999999998
4u5m,0.1767,0.1651,0.1909,0.1857,0.0207,0.0144,1.072,1.437,1.5
4u6l,0.2418,0.2214,0.2531,0.2653,0.0395,0.01,8.5822,1.8184,1.9
4u78,0.1812,0.1616,0.218,0.2,0.033,0.0243,0.7453,1.3118,1.501
4u8a,0.2613,0.262,0.3275,0.3201,0.0205,0.009,2.846,2.3995,1.48
4u8b,0.2423,0.2419,0.2479,0.248,0.0266,0.0138,2.6515,2.3955,1.31
4u8c,0.2711,0.2694,0.3211,0.3176,0.0228,0.0108,2.2012,1.7349,1.24
4u92,0.1307,0.1324,0.145,0.1459,0.0325,0.0283,1.7396,1.7758,1.5
4wo2,0.206,0.1886,0.2222,0.2226,0.0257,0.0173,0.7362,1.195,1.82
4x18,0.1453,0.1425,0.1383,0.1427,0.0173,0.0184,2.6217,2.3241,1.05
4xno,0.2125,0.2015,0.227,0.2177,0.0622,0.0197,3.54,2.384,1.985
4xqz,0.2522,0.2453,0.317,0.3048,0.0327,0.0085,1.1438,1.1979,2.151
4xw0,0.2256,0.2229,0.2967,0.2866,0.0248,0.0088,2.3981,2.2033,1.81
4xw7,0.2689,0.2366,0.2986,0.2874,0.0322,0.0076,0.7969,1.2112,2.5
4y27,0.1925,0.1829,0.198,0.1946,0.015,0.0145,1.5218,1.6829,0.998
4ymc,0.1989,0.1855,0.2578,0.2357,0.0222,0.0125,4.651,3.4503,1.88
5axf,0.1643,0.158,0.1777,0.1746,0.0264,0.0229,2.1921,2.0625,1.13
5ay2,0.1715,0.1592,0.185,0.1793,0.0098,0.0152,1.1006,1.6514,1.3
5ay3,0.1797,0.1674,0.1905,0.1867,0.009,0.0156,1.1756,1.7208,1.2
5ay4,0.1567,0.1458,0.1879,0.1818,0.0089,0.01,1.1738,1.6094,1.7
5bjo,0.1793,0.1794,0.2283,0.2286,0.0329,0.0086,1.7426,1.395,2.35
5bjp,0.1907,0.1885,0.239,0.2341,0.0259,0.0094,1.7186,1.3899,2.51
5bws,0.1759,0.1639,0.2282,0.2291,0.0114,0.0062,0.9858,1.1496,2.6
5c5w,0.2216,0.2078,0.2053,0.2146,0.0095,0.0111,1.4294,1.551,1.25
5ccw,0.23,0.2219,0.2539,0.2388,0.0439,0.0172,3.6655,3.3544,1.89
5ch0,0.1843,0.1733,0.1811,0.1778,0.0309,0.0303,2.6714,2.7797,1.4
5cjy,0.2444,0.2213,0.2644,0.2508,0.0213,0.0132,1.4725,2.2613,1.55
5d8t,0.1621,0.1603,0.1789,0.1837,0.0336,0.0286,4.1312,3.8649,1.2
5da6,0.1919,0.183,0.2035,0.2,0.0132,0.0129,1.093,1.4324,1.05
5dam,0.1871,0.1789,0.2829,0.2666,0.0113,0.007,1.8123,1.3693,1.95
5dhb,0.1882,0.1878,0.1966,0.1921,0.0332,0.0147,3.8463,3.1423,1.8
5dhc,0.1729,0.1744,0.1968,0.1953,0.0413,0.0163,3.1212,2.5489,1.55
5do5,0.2271,0.2111,0.2455,0.2321,0.0254,0.0185,2.9957,2.4192,1.2
5dqk,0.2321,0.2386,0.2761,0.275,0.0173,0.0082,1.4865,1.4142,2.707
5e36,0.1906,0.1407,0.1965,0.1729,0.0355,0.0218,2.6491,2.3349,1.6
5ebi,0.1617,0.1502,0.1891,0.1947,0.1475,0.0621,2.146,3.3067,1.09
5emf,0.1752,0.1653,0.1958,0.1947,0.0308,0.0231,3.3632,3.0094,1.14
5et2,0.1894,0.1625,0.2017,0.181,0.0128,0.0159,3.2014,3.255,1.39
5ew4,0.2371,0.2261,0.2559,0.2529,0.0326,0.0144,0.9032,1.3376,1.47
5ew7,0.2538,0.2356,0.2684,0.2684,0.0328,0.0108,0.8764,1.2324,1.75
5fhj,0.2438,0.2193,0.2596,0.2411,0.066,0.0258,0.7088,1.2716,1.68
5fj0,0.2692,0.238,0.2958,0.2692,0.0052,0.0056,0.7261,1.2106,2.2
5fjc,0.2296,0.2152,0.2632,0.2536,0.07,0.0157,1.2974,1.3626,1.71
5fk1,0.3032,0.2543,0.308,0.2835,0.031,0.0092,0.9034,1.0925,2.5
5fk2,0.2719,0.2279,0.3086,0.2761,0.0194,0.0075,0.8951,1.0729,2.6
5fk3,0.2604,0.2255,0.2999,0.2796,0.0317,0.0092,0.9232,1.1643,2.5
5fk4,0.4366,0.4311,0.4396,0.4647,0.0494,0.0122,1.5696,1.4704,2.43
5fk6,0.2921,0.2323,0.3162,0.273,0.0309,0.0087,0.8938,1.1692,2.5
5fkd,0.3193,0.2872,0.342,0.3206,0.0217,0.0059,0.8932,0.9334,3.0
5fke,0.3507,0.2856,0.3753,0.3264,0.0305,0.0072,1.1227,1.0092,2.8
5fkf,0.2637,0.2331,0.29,0.2683,0.0313,0.0083,1.1565,1.068,2.8
5fkh,0.3083,0.2528,0.3507,0.3079,0.0226,0.0072,0.9038,0.9987,2.65
5gsk,0.1738,0.1575,0.1839,0.169,0.0061,0.0147,0.6981,1.3997,1.05
5hbw,0.2264,0.2207,0.2642,0.2732,0.0802,0.021,7.029,5.7563,1.9
5hbx,0.2142,0.2157,0.2496,0.2457,0.0389,0.0158,5.4364,4.3683,1.7
5hby,0.1543,0.1547,0.1662,0.1661,0.0322,0.0223,3.2267,3.0412,1.18
5hn2,0.1776,0.1719,0.1761,0.185,0.023,0.0131,2.4414,1.9563,1.5
5hnj,0.1916,0.1845,0.2067,0.2177,0.0194,0.0164,2.0639,1.9226,1.24
5hnq,0.2532,0.2482,0.2835,0.2841,0.0228,0.0073,2.7449,1.7981,2.4
5ip8,0.1878,0.1885,0.2199,0.2187,0.0211,0.0129,2.5506,2.1759,1.76
5iu5,0.2245,0.2163,0.2714,0.2597,0.0159,0.009,3.1032,2.3664,1.9
5iwj,0.2115,0.2032,0.2773,0.2818,0.0273,0.011,3.5016,2.5957,1.88
5ix7,0.207,0.1927,0.2169,0.2221,0.0097,0.0126,0.8995,1.5147,1.3980000000000001
5iyg,0.2419,0.2412,0.2697,0.2778,0.02,0.0091,2.006,1.4568,1.7009999999999998
5iyj,0.2335,0.2275,0.2523,0.2496,0.0204,0.0095,1.7763,1.4052,1.7009999999999998
5jvw,0.218,0.2039,0.2669,0.2553,0.0267,0.0096,2.0952,1.2972,2.0
5krg,0.2078,0.2082,0.2336,0.2292,0.0324,0.0137,4.1855,3.3134,1.6
5kx9,0.2258,0.2016,0.2595,0.2608,0.0239,0.0067,0.958,1.1949,2.9
5l00,0.2098,0.2109,0.2396,0.2397,0.0389,0.0212,2.859,2.4083,1.25
5lfs,0.1938,0.1907,0.2144,0.2148,0.0345,0.0131,9.3959,8.998,1.85
5lfx,0.1874,0.1826,0.2145,0.2156,0.0489,0.0187,2.5908,2.3042,1.56
5lit,0.1562,0.1549,0.1805,0.1805,0.0234,0.0134,2.2783,1.9935,1.25
5lqt,0.2717,0.2434,0.2605,0.2523,0.0313,0.0144,5.113,4.3781,1.5
5lr3,0.3139,0.28,0.3315,0.3272,0.0182,0.0078,2.8537,2.3915,1.65
5lr4,0.3378,0.3101,0.3539,0.3492,0.0111,0.0102,4.0301,3.0318,1.8
5ls8,0.2248,0.2067,0.2358,0.2258,0.0365,0.0229,2.2631,2.7807,1.78
5lys,0.2164,0.1928,0.2372,0.2355,0.0194,0.0071,1.0652,1.3761,2.32
5lyu,0.2129,0.1921,0.265,0.268,0.0444,0.0069,1.0475,1.3548,2.2
5lyv,0.2335,0.2098,0.2674,0.2659,0.0186,0.0063,1.3961,1.3575,2.35
5mvk,0.2044,0.1941,0.2142,0.2086,0.016,0.0099,1.3652,1.4727,1.531
5mvl,0.2023,0.1889,0.204,0.2024,0.0279,0.015,1.2435,2.0346,1.405
5mvp,0.2235,0.211,0.2607,0.2606,0.0384,0.0147,1.2067,1.4277,1.6059999999999999
5mvq,0.1969,0.1869,0.2044,0.1978,0.0266,0.0106,1.1826,1.4704,1.604
5mwi,0.2428,0.2344,0.2784,0.2699,0.0196,0.0116,2.0069,1.6237,1.51
5nbe,0.1647,0.1566,0.1907,0.1892,0.0245,0.0173,2.7723,2.6473,1.51
5ndh,0.2417,0.2303,0.2593,0.2505,0.0197,0.0097,2.2715,2.2176,1.81
5ndi,0.239,0.2139,0.2777,0.2598,0.0161,0.0084,1.6684,1.7059,2.57
5neo,0.2524,0.2295,0.2633,0.25,0.0135,0.0117,1.4672,2.0361,1.69
5nep,0.2267,0.21,0.2445,0.2207,0.0159,0.0123,1.8882,1.9861,1.6
5neq,0.2399,0.223,0.2698,0.2395,0.0376,0.0111,2.0813,1.9131,1.69
5nex,0.2241,0.2067,0.2411,0.2146,0.0219,0.015,1.8428,2.0141,1.72
5nwq,0.2595,0.2404,0.2732,0.2574,0.0403,0.0105,1.4568,1.3951,1.91
5nxt,0.1981,0.1875,0.1942,0.1906,0.0121,0.0149,1.4964,1.6268,1.379
5ny8,0.257,0.2295,0.2999,0.2718,0.0147,0.0076,1.932,1.3805,2.04
5nz3,0.2899,0.2529,0.3184,0.2936,0.0216,0.0072,1.7926,1.4378,2.059
5nz6,0.2497,0.2044,0.2648,0.2244,0.0165,0.0112,1.9187,2.3665,2.94
5nzd,0.2474,0.2284,0.2554,0.2408,0.0345,0.0085,1.9412,1.6295,2.0069999999999997
5o62,0.2721,0.2457,0.3168,0.3122,0.0186,0.0076,2.0498,1.5556,2.119
5o69,0.2939,0.2539,0.3224,0.2798,0.0143,0.0063,2.0565,1.5451,2.319
5t3l,0.2009,0.1974,0.2149,0.2238,0.0109,0.0099,1.6293,1.6983,1.58
5t5a,0.2047,0.1892,0.2053,0.2148,0.0325,0.0165,2.0141,1.6806,2.0
5tdj,0.2186,0.2115,0.23,0.2438,0.0108,0.0097,1.8661,1.7712,1.5
5tdk,0.2154,0.2113,0.2205,0.2246,0.0357,0.0148,1.3406,1.3707,1.43
5tko,0.1994,0.1947,0.2041,0.2088,0.0307,0.0123,1.6285,1.5935,1.52
5u0q,0.2079,0.1993,0.2174,0.2263,0.0349,0.0133,1.6757,1.5666,1.43
5ued,0.2125,0.2114,0.2331,0.2311,0.0308,0.0141,2.671,1.7897,1.5
5uee,0.2339,0.2343,0.2734,0.2723,0.0256,0.0085,2.7652,1.5824,1.9
5ux3,0.2261,0.2206,0.2667,0.2628,0.0299,0.0094,3.2231,2.1286,2.5
5uz6,0.223,0.2243,0.2685,0.2653,0.019,0.0076,2.2526,1.6269,2.1
5uza,0.2676,0.2292,0.2891,0.2804,0.012,0.0074,0.7946,1.4452,2.22
5v0h,0.2298,0.2284,0.2741,0.258,0.0332,0.0124,3.0689,2.5184,1.9
5v0j,0.2395,0.2401,0.2718,0.2687,0.0384,0.0176,3.6085,3.1554,1.5
5v0k,0.1774,0.177,0.2179,0.2164,0.0338,0.0153,3.3182,2.9097,1.6
5v0o,0.2235,0.2187,0.2943,0.2767,0.0177,0.0077,2.4805,1.6761,2.7
5v1k,0.1813,0.1666,0.1717,0.1813,0.0369,0.0224,2.5506,2.0432,1.18
5v1l,0.1735,0.1655,0.1778,0.186,0.0375,0.0227,2.8186,1.8035,1.2
5v2h,0.1895,0.1805,0.1948,0.1892,0.0189,0.0186,1.6971,1.8981,1.0800130623100002
5v9z,0.2213,0.2191,0.2842,0.2883,0.0238,0.0077,2.4902,1.6969,2.51
5vcf,0.1632,0.1628,0.2126,0.2146,0.0133,0.0076,1.9915,1.9099,2.8
5vci,0.1622,0.1593,0.2115,0.2139,0.0155,0.0088,1.8385,2.0012,2.6
5vj9,0.1929,0.1944,0.2351,0.2348,0.0269,0.0111,1.755,1.4601,1.57
5vjb,0.2193,0.218,0.2394,0.2368,0.0149,0.009,1.7882,1.6063,2.1
5vxq,0.1643,0.1548,0.185,0.1825,0.0075,0.0079,1.1746,1.2549,1.002
5vy7,0.2397,0.2137,0.2562,0.2404,0.0426,0.0167,4.3333,3.8698,3.0
5w1z,0.2069,0.2093,0.2332,0.2329,0.0477,0.0168,3.3745,2.8528,1.55
5w20,0.1476,0.1472,0.1821,0.1818,0.029,0.0189,2.4186,2.3425,1.36
5wsq,0.1911,0.1755,0.2075,0.193,0.0093,0.0141,0.936,1.5055,1.05
5wv7,0.2352,0.2246,0.2588,0.2549,0.013,0.0106,1.1902,1.3966,1.406
5xk1,0.1739,0.165,0.1887,0.1823,0.0101,0.0142,0.9428,1.4821,1.501
5xuv,0.2024,0.2007,0.2137,0.207,0.1119,0.0391,8.4963,5.2835,1.9
5z1h,0.2342,0.2166,0.2681,0.2821,0.0137,0.0072,1.1576,1.4031,2.4
5z1i,0.2082,0.1894,0.2297,0.2311,0.0174,0.0091,1.3868,1.4772,1.903
5z71,0.286,0.2679,0.3224,0.3367,0.0118,0.0084,1.274,1.4789,2.5
5zas,0.1708,0.1521,0.1768,0.1606,0.0209,0.0155,1.4481,1.6709,1.56
